Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
246.0,2023-12-11 06:00:00,21.1,0,26.0,92.0,108.0,44t
247.0,2023-12-11 07:00:00,23.3,0,27.0,89.0,107.0,44t
248.0,2023-12-11 08:00:00,24.6,1,29.0,77.0,111.0,44t
249.0,2023-12-11 09:00:00,23.6,1,30.0,69.0,134.0,44t
250.0,2023-12-11 10:00:00,18.4,1,30.0,68.0,133.0,44t
251.0,2023-12-11 11:00:00,17.1,1,30.0,66.0,153.0,44t
252.0,2023-12-11 12:00:00,18.6,2,29.0,74.0,133.0,44t
253.0,2023-12-11 13:00:00,15.3,1,31.0,63.0,184.0,44t
254.0,2023-12-11 14:00:00,13.9,1,32.0,59.0,165.0,44t
255.0,2023-12-11 15:00:00,12.6,1,31.0,60.0,201.0,44t
256.0,2023-12-11 16:00:00,14.1,1,31.0,65.0,135.0,44t
257.0,2023-12-11 17:00:00,15.4,2,29.0,71.0,126.0,44t
258.0,2023-12-11 18:00:00,15.5,1,28.0,84.0,120.0,44t
259.0,2023-12-11 19:00:00,21.4,1,27.0,91.0,110.0,44t
260.0,2023-12-11 20:00:00,20.5,1,27.0,90.0,111.0,44t
261.0,2023-12-11 21:00:00,23.9,1,27.0,89.0,115.0,44t
262.0,2023-12-11 22:00:00,25.9,1,28.0,81.0,134.0,44t
263.0,2023-12-11 23:00:00,24.8,1,28.0,78.0,165.0,44t
264.0,2023-12-12 00:00:00,24.1,1,28.0,74.0,147.0,44t
265.0,2023-12-12 01:00:00,18.4,1,28.0,75.0,185.0,44t
266.0,2023-12-12 02:00:00,15.8,1,28.0,75.0,200.0,44t
267.0,2023-12-12 03:00:00,15.1,1,27.0,74.0,135.0,44t
268.0,2023-12-12 04:00:00,19.0,1,27.0,74.0,144.0,44t
269.0,2023-12-12 05:00:00,18.2,1,27.0,74.0,187.0,44t
270.0,2023-12-12 06:00:00,18.3,1,27.0,74.0,152.0,44t
271.0,2023-12-12 07:00:00,16.6,1,28.0,73.0,137.0,44t
272.0,2023-12-12 08:00:00,12.2,1,30.0,68.0,124.0,44t
273.0,2023-12-12 09:00:00,17.0,1,30.0,65.0,145.0,44t
274.0,2023-12-12 10:00:00,15.6,1,31.0,61.0,213.0,44t
275.0,2023-12-12 11:00:00,16.9,1,32.0,56.0,202.0,44t
276.0,2023-12-12 12:00:00,14.8,1,32.0,54.0,228.0,44t
277.0,2023-12-12 13:00:00,14.5,2,32.0,54.0,237.0,44t
278.0,2023-12-12 14:00:00,13.8,2,31.0,56.0,237.0,44t
279.0,2023-12-12 15:00:00,11.9,2,31.0,56.0,236.0,44t
280.0,2023-12-12 16:00:00,16.1,1,30.0,62.0,223.0,44t
281.0,2023-12-12 17:00:00,13.9,1,29.0,69.0,197.0,44t
282.0,2023-12-12 18:00:00,14.1,1,28.0,72.0,152.0,44t
283.0,2023-12-12 19:00:00,16.3,1,28.0,72.0,155.0,44t
284.0,2023-12-12 20:00:00,19.1,1,28.0,72.0,189.0,44t
285.0,2023-12-12 21:00:00,20.4,1,28.0,72.0,143.0,44t
286.0,2023-12-12 22:00:00,18.1,1,28.0,73.0,128.0,44t
287.0,2023-12-12 23:00:00,17.5,0,27.0,78.0,104.0,44t
288.0,2023-12-13 00:00:00,24.3,0,27.0,79.0,105.0,44t
289.0,2023-12-13 01:00:00,19.2,0,27.0,82.0,106.0,44t
290.0,2023-12-13 02:00:00,19.0,0,26.0,86.0,108.0,44t
291.0,2023-12-13 03:00:00,19.2,0,26.0,89.0,107.0,44t
292.0,2023-12-13 04:00:00,22.7,0,26.0,90.0,105.0,44t
293.0,2023-12-13 05:00:00,23.5,0,26.0,90.0,105.0,44t
294.0,2023-12-13 06:00:00,23.5,1,26.0,89.0,89.0,44t
295.0,2023-12-13 07:00:00,24.3,0,26.0,90.0,106.0,44t
296.0,2023-12-13 08:00:00,25.0,1,29.0,77.0,112.0,44t
297.0,2023-12-13 09:00:00,20.3,1,28.0,82.0,135.0,44t
298.0,2023-12-13 10:00:00,18.4,1,27.0,88.0,109.0,44t
299.0,2023-12-13 11:00:00,18.2,1,28.0,83.0,116.0,44t
300.0,2023-12-13 12:00:00,17.4,1,28.0,82.0,111.0,44t
301.0,2023-12-13 13:00:00,17.5,1,28.0,81.0,160.0,44t
